node,x,y
175,47.0649845,15.4432245
8224,47.0646369,15.4436634
176,47.0639172,15.4441848
6088,47.0624582,15.4450231
6499,47.0628205,15.4461893
6500,47.0634551,15.4482456
9147,47.0640668,15.4497531
9146,47.0653834,15.4503425
6356,47.0663401,15.4507341
6357,47.0659964,15.4524781
577,47.0661805,15.4526124
578,47.06626,15.4526255
389,47.0670949,15.4532868
576,47.0677312,15.4538174
9188,47.0680717,15.4543051
5833,47.0687826,15.4526966
226,47.0692904,15.4515745
227,47.0694384,15.4511344
231,47.0700788,15.451427
228,47.0707916,15.4517704
229,47.0715612,15.4520903
650,47.0723362,15.452455
364,47.0724634,15.4523535
365,47.0741047,15.4515224
6724,47.0741872,15.4514819
6725,47.0747867,15.451167
6110,47.0760087,15.4505192
6109,47.0761431,15.4504436
288,47.0762003,15.4504041
126,47.0761661,15.4501904
127,47.0763601,15.449979
3898,47.0775008,15.4487643
3896,47.0768422,15.4473173
6087,47.0776825,15.4468105
4089,47.0777085,15.446793
123,47.0782229,15.4464922
122,47.0785694,15.4462903
736,47.0788743,15.4461069
735,47.0802139,15.4453076
738,47.0806873,15.4450046
999,47.0820824,15.4446826
3777,47.0821551,15.4446691
3776,47.0829242,15.4456565
7864,47.0884387,15.4477875
8971,47.0892021,15.4476103
5011,47.090621,15.4471673
5010,47.0925408,15.4500284
7873,47.0925634,15.4499887
5219,47.0930541,15.4491721
6304,47.0953615,15.4464343
3678,47.0955911,15.4463664
1930,47.0956202,15.4461328
5527,47.0966424,15.4461132
353,47.0975549,15.4467164
4865,47.0977914,15.4470454
5737,47.0988777,15.4483216
3686,47.1022201,15.4509727
5578,47.102836,15.4523367
800,47.1036489,15.4540479
5579,47.1044225,15.4558219
9133,47.1072187,15.4581066
9171,47.1084482,15.4592234
9134,47.10928,15.4634213
4816,47.1092978,15.4634866
6084,47.1157511,15.4692341
5710,47.1202533,15.4704987
5711,47.1207606,15.4731903
5162,47.120382,15.474493
4025,47.1203545,15.4745647
6918,47.11838,15.4774551
6188,47.1181506,15.4775061
9415,47.1166935,15.4786691
9135,47.116637,15.4807061
8323,47.1165439,15.4829283
8322,47.1163459,15.4834748
8321,47.1162658,15.4835616
5998,47.1147521,15.4841427
4023,47.1117373,15.4842918
5997,47.1109902,15.487203
4765,47.1095716,15.4892614
5900,47.109506,15.4893121
5899,47.1081199,15.4897341
4022,47.1080435,15.4897696
4021,47.1077891,15.4899231
2672,47.1065128,15.4886507
2673,47.1064457,15.488973
9328,47.1066257,15.4914178
