node,x,y
175,47.0649845,15.4432245
822,47.0657154,15.4443294
827,47.066285,15.4458905
828,47.0664954,15.4461875
179,47.0667605,15.4462725
55,47.0676334,15.4464342
56,47.0678499,15.4459861
57,47.0681211,15.4455558
58,47.0682603,15.4452388
321,47.068462,15.443995
801,47.0685287,15.4435688
7314,47.0685491,15.4434329
7310,47.0685742,15.4432189
7311,47.0682235,15.4425319
6099,47.0681257,15.4423166
6100,47.0681002,15.442258
59,47.0678633,15.4417079
60,47.0678253,15.4416173
727,47.0673175,15.4404102
2414,47.0672439,15.44025
9068,47.066944,15.439513
2415,47.0669197,15.439454
152,47.0664625,15.4383692
705,47.066412,15.437687
495,47.0663771,15.4368778
6346,47.066371,15.4367238
6362,47.0663538,15.4361438
7982,47.0663489,15.4359631
7296,47.0663446,15.4357851
63,47.0663448,15.4356406
6341,47.0663486,15.4354629
706,47.0663535,15.4353528
65,47.0663984,15.434442
66,47.0664003,15.4343926
6342,47.0664074,15.4342893
1480,47.0664231,15.4338315
1483,47.0664477,15.4332882
7938,47.0664546,15.4331429
3645,47.066487,15.4325471
8479,47.0665245,15.4319121
622,47.0665469,15.431791
3735,47.0668442,15.43127
6455,47.0668297,15.431194
8483,47.066779,15.4308698
3964,47.0667765,15.4308394
5766,47.0667693,15.4304462
2032,47.0667663,15.4300811
1780,47.066779,15.428805
6454,47.0666638,15.4279962
6453,47.0665779,15.4274246
1781,47.0665613,15.4273174
67,47.0665243,15.4270538
68,47.0664708,15.4267042
8299,47.0663784,15.4260807
754,47.0662732,15.4254159
6276,47.066172,15.4247122
3784,47.0660195,15.4237294
3785,47.0659521,15.4232784
7654,47.0657769,15.4221069
7643,47.0656253,15.4210938
7644,47.0673855,15.4205439
8913,47.0678545,15.4204065
8910,47.0679356,15.4203827
8911,47.0680605,15.4203539
2138,47.0687892,15.4201519
7645,47.0690211,15.4200907
5835,47.0695687,15.4199331
6196,47.070286,15.4197346
6677,47.0703842,15.4197181
7647,47.0707182,15.4196365
7649,47.071075,15.4195503
9090,47.0711869,15.4195238
260,47.0712968,15.4194852
259,47.0712931,15.4193327
5763,47.0712448,15.4190129
5764,47.0711873,15.4186121
2168,47.0711497,15.4183488
2167,47.0710413,15.4175397
2166,47.0709014,15.4166017
2165,47.0708321,15.4161932
7299,47.0707132,15.4149727
6793,47.070725,15.4148506
6792,47.0705231,15.4131013
7193,47.0704436,15.4125057
7192,47.0701656,15.410347
2191,47.0702056,15.4101222
534,47.070044,15.4093046
3519,47.070077,15.4065001
3798,47.0703466,15.4041896
2483,47.0704464,15.4035038
8373,47.0704608,15.4034031
3514,47.0705701,15.4026485
2075,47.0706384,15.4022243
2055,47.0706658,15.4020537
3406,47.0707449,15.4012887
6316,47.0707398,15.4011584
8263,47.0708376,15.3995769
2039,47.0713913,15.3980932
1916,47.072287,15.3957171
1917,47.0715472,15.3949353
9117,47.0705789,15.394239
1840,47.0707502,15.3934147
3538,47.0708073,15.3931401
1839,47.0715199,15.3908304
6031,47.0747655,15.3904085
