node,x,y
175,47.0649845,15.4432245
8224,47.0646369,15.4436634
176,47.0639172,15.4441848
6088,47.0624582,15.4450231
6089,47.0615715,15.4455158
8050,47.0614174,15.445044
6485,47.0612288,15.4444379
6484,47.0611775,15.4442902
7213,47.0611303,15.4441582
8055,47.0610592,15.4439462
5692,47.06082,15.4431842
438,47.0617586,15.4427305
437,47.0629227,15.4421632
587,47.0628319,15.4413183
7516,47.0634195,15.4412188
6497,47.0632336,15.4402122
6579,47.0644002,15.4409294
7245,47.0645795,15.440694
1842,47.0645989,15.440573
1843,47.0647604,15.4410939
777,47.0667289,15.441344
3755,47.0666894,15.4412087
3727,47.0666825,15.4411779
728,47.0666497,15.4408705
729,47.0667489,15.4408288
8822,47.0672251,15.4404866
727,47.0673175,15.4404102
726,47.0679712,15.4399144
3932,47.0676616,15.4390166
3933,47.0682536,15.4388472
524,47.06952,15.4382019
523,47.0688686,15.436846
7924,47.0689722,15.4367732
7923,47.0690582,15.436692
8255,47.0691385,15.4366161
155,47.0694558,15.4363238
154,47.0694918,15.4362694
775,47.0708005,15.4357738
4101,47.0709777,15.4356068
5716,47.0709709,15.4355249
267,47.0709683,15.4354714
268,47.0709198,15.4346756
696,47.0709157,15.4346278
248,47.0709052,15.4345405
162,47.0700679,15.4346738
161,47.0700819,15.4340694
160,47.069592,15.4340315
3651,47.0691289,15.433973
5839,47.0690907,15.4339608
3649,47.0678951,15.4329427
624,47.0675035,15.432564
159,47.0696707,15.4317229
158,47.0696995,15.4314132
7211,47.0696533,15.4311529
3524,47.0697025,15.4307063
5685,47.0699141,15.4288826
1779,47.0697509,15.4286693
5974,47.06986,15.4277648
5973,47.069038,15.4272692
5972,47.0689874,15.4271288
5971,47.0689718,15.4270381
5902,47.0689029,15.4270089
756,47.0687112,15.4251318
2139,47.0685752,15.4236445
6802,47.0703427,15.4241853
2140,47.0712417,15.4246672
7858,47.0715401,15.4247431
2150,47.071624,15.4247419
8749,47.0720844,15.4246243
3597,47.0732086,15.4239982
8210,47.073876,15.4235386
7239,47.074226,15.4232975
3760,47.0742839,15.4232259
7562,47.0747101,15.4228659
6693,47.0766429,15.4212498
7510,47.0782492,15.420061
7509,47.0785466,15.4199199
7033,47.0789692,15.4198076
3607,47.0790802,15.4196314
3563,47.079612,15.4182293
1936,47.0797931,15.4178628
3608,47.0803337,15.4174627
3609,47.0805525,15.4178784
3561,47.0810091,15.4184172
3562,47.0813206,15.4185234
6024,47.0821955,15.4190695
6023,47.082257,15.4191308
1933,47.0823317,15.4192105
1932,47.08307,15.4167248
6689,47.0832769,15.4170995
9094,47.0836402,15.4177575
3557,47.083729,15.417926
3558,47.0832531,15.4189271
1971,47.0835445,15.4194548
8060,47.0839274,15.4201757
5557,47.0847659,15.4218209
3554,47.0850337,15.4216533
3553,47.0857314,15.4204125
7088,47.0857731,15.4202273
8763,47.0858709,15.4204613
5558,47.0859452,15.4206493
3886,47.0860224,15.4205801
8476,47.0860779,15.4205149
8475,47.0863336,15.4202067
7515,47.0864583,15.4200582
989,47.0866992,15.4197723
3552,47.0868068,15.4196436
988,47.0879673,15.4182874
5304,47.0883615,15.4177839
6417,47.0904954,15.4156579
5135,47.0900585,15.4140885
5306,47.0899921,15.4138669
6898,47.0898476,15.4133545
6419,47.0898038,15.4131844
6418,47.089499,15.4125274
3890,47.0886136,15.4108771
3889,47.0885588,15.4107658
4919,47.0896144,15.4089319
8687,47.0902164,15.4081335
4147,47.0929411,15.4049422
4146,47.0931367,15.4049014
7905,47.0932652,15.4043877
7904,47.0932601,15.4040599
3412,47.0932645,15.4037528
3411,47.0932407,15.4031425
3410,47.0928806,15.402193
3409,47.0924798,15.401141
3632,47.0924031,15.4011916
6679,47.0923594,15.4012421
5023,47.0920676,15.4014409
5332,47.0913801,15.4019367
4847,47.0901972,15.4027802
8694,47.0883189,15.4037434
5817,47.087419,15.4042176
8695,47.0865926,15.4047088
8696,47.0853024,15.4054686
1942,47.0849772,15.4056438
6675,47.0840121,15.408245
6676,47.0829971,15.4089462
3911,47.0824281,15.4092887
3912,47.082026,15.4095325
8700,47.0796558,15.4108941
8948,47.079234,15.4111536
2197,47.0786788,15.4114737
5630,47.0785549,15.4115443
9203,47.0770563,15.4124021
2196,47.0752099,15.4133416
6197,47.0737914,15.4138506
2207,47.0735185,15.412124
8821,47.0734793,15.4118603
8820,47.073398,15.4113453
6198,47.0733878,15.4112748
2194,47.0733647,15.4111313
7196,47.0730803,15.4090775
7195,47.0722043,15.4093841
2058,47.0720919,15.4085396
3520,47.0719337,15.4066883
5785,47.0717668,15.4045823
3515,47.0719597,15.4029154
2057,47.0720393,15.4022797
2056,47.0721464,15.4014386
3407,47.0709049,15.4013044
3406,47.0707449,15.4012887
6316,47.0707398,15.4011584
8263,47.0708376,15.3995769
3518,47.0701589,15.3992499
9118,47.0707043,15.3974782
1917,47.0715472,15.3949353
9117,47.0705789,15.394239
1840,47.0707502,15.3934147
3538,47.0708073,15.3931401
1839,47.0715199,15.3908304
6031,47.0747655,15.3904085
